,BehaviorTest,Animal #,Notes,TestCategory,Date,Time
422,Daily Observations,A0057500056,3/18/2025 Approached Suzy at the run door. She had her tail tucked and was low growling but came up to the run door to sniff my hand. I think she is super confused as to why she us back. Need more decompression time back in the shelter environment. ,Staff Observation,3/18/2025,09:50 AM
423,Focus Group,A0057945065,"3/18/2025 Very wiggly at the gate. Easy in and out of his kennel. Interested in other dogs, wiggly at the gate. Likely potty trained. Very happy, affectionate boy, leaning in for pets. Very sick, constant cough. No issues seen.",Staff Observation,3/18/2025,11:10 AM
424,Daily Observations,A0057985936,3/18/2025 Belinda reports barrier reactivity. Leveling up to L2-BR,Staff Observation,3/18/2025,12:23 PM
425,Intake,A0058031872,3/18/2025 easily handled in kenneldoes not like being vetted. muzzled for precaution. ,Staff Observation,3/18/2025,03:06 PM
426,Intake,A0058029394,3/18/2025 easily handled,Staff Observation,3/18/2025,03:16 PM
427,Intake,A0058038278,3/19/2025 Easily handled in intake and exam.,Staff Observation,3/19/2025,02:24 PM
428,Intake,A0058036198,3/19/2025 Easily handled both in the kennel and during the exam. ,Staff Observation,3/19/2025,02:55 PM
429,Intake,A0058042308,3/20/2025 Snarling and lunging when kennel door is approached tries to bite cannot be handled. Catch poled and partial. HacklesAir snappingAlarm barkingGrowlingHard staringLifting lip/ Showing teethTrying to bite/Biting,Staff Observation,3/20/2025,03:00 PM
430,Write Up,A0057500056,"3/21/2025 Appears to be fearful, retreats to back of the run, crouched down on the floor, growling and showing teeth. ",Staff Observation,3/21/2025,08:37 AM
431,Write Up,A0058006377,"3/21/2025 Displaying extreme kennel stress and has only been here a few days.  Walking in loop pattern, non stop. ",Staff Observation,3/21/2025,08:42 AM
432,Intake,A0055909108,3/22/2025 easily handled in kennelvery hyperactive/high energy in exam room. still easily handled,Staff Observation,3/22/2025,01:14 PM
433,Write Up,A0055909108,3/23/2025 Level up to L2-BR due to reports from staff of her being barrier reactive with them.,Staff Observation,3/23/2025,09:24 AM
434,Request Level Change (Down),A0058000573,3/25/2025 Request: Your Name: LaneWhy are you requesting a level change? improved behavior Assessment:Assessor's Name: Lauren RFindings and Recommendation: was playful and recommend L2- OA/JM/BR Results:Manager's Name: Michelle HarmonNotes and determination: Wen to foster,Leveling,3/25/2025,07:30 AM
435,Write Up,A0055909108,"3/25/2025 Keke was helping rekennel Chi-Chi this morning. When she walked her inside the kennel and began unleashing her, Keke was nipped by Chi-chi that did not break skin. Kennel is separating the pair and placing Chi-Chi in another kennel. Leveling to L2-BR/JM",Staff Observation,3/25/2025,11:28 AM
436,Intake,A0057820399,3/25/2025 easily handled while in intake and during exam,Staff Observation,3/25/2025,01:12 PM
437,Focus Group,A0058000573,"3/25/2025 BR, dodged the leash before allowing and retrieving. He was very excited and happy to be out of his kennel. Immediately accepting of pets all over, kept a loose, wiggly body and lots of tail wags. Enjoys affection, playful, goofy, can get overstimulated and slightly mouthy, redirect with treats. Re-kenneled without issue. Rec. L2-BR/OA/JM",Staff Observation,3/25/2025,03:29 PM
438,Intake,A0058069967,3/25/2025 easily handled in kennelmuzzled for precaution during exam. does not like being vetted,Staff Observation,3/25/2025,04:25 PM
439,Focus Group,A0058042308,"3/25/2025 Difficult leashing, growled at May when she tried. Successfully leashed him while Emma held the leash and Lauren held a treat. Once in the play yard he was all puppy energy. Playful, cuddly, leaning in for pets, and soliciting all of the attention he could get. No issues re-kenneling.  Rec: L2-BR/H",Staff Observation,3/25/2025,05:00 PM
440,Request Level Change (Down),A0058042308,3/25/2025 Requesting L2-BR/H No change at this time. Went to foster home. MH,Leveling,3/25/2025,05:03 PM
441,Focus Group,A0057999103,"3/25/2025 Easy in and out of her kennel. Emma was able to pet all over, pick her up, and make loud noises without any issue. Dog tested with Elecktra. Cooky is dog friendly, Elecktra was not a fan. Cooky was removed from the play yard for her safety completely unphased by Elecktra. ",Staff Observation,3/25/2025,05:05 PM
442,Daily Observations,A0057500056,"3/26/2025 Behavior noted on morning rounds. Approached Suzy's door. Once she saw me, Suzy began lowering the front of her body/chest towards the ground and lifting her eyes up to watch me while barking. Wiggled around as I tried to talk to her and hold my hand up for sniffing. Did not approach, barking got more frequent the closer I got to the door. ",Staff Observation,3/26/2025,09:53 AM
443,Daily Observations,A0057471755,"3/26/2025 Behavior observed in kennel on morning rounds. Approached Jean at the gate. Jean began barking, jumping on the kennel door and pacing mildly. Wiggly body language when I acknowledged her, fast mid-height tail wags. May need to be releveled from SF?",Staff Observation,3/26/2025,10:00 AM
444,Intake,A0053300757,3/26/2025 easily handled in the kennel and during the intake exam ,Staff Observation,3/26/2025,03:15 PM
445,Intake,A0058069584,3/26/2025 whale eye and frozen in the kennel shows teeth and charges while alarm barking when approached. Partial on catch poleSigns of stress/fearalarm barkinghard staringlifting lip/showing teethfrigidwhale eye,Staff Observation,3/26/2025,03:32 PM
446,Intake,A0053591163,3/26/2025 Nervous can be a little growly go slow. muzzled out of precaution be careful when handing treats. Snatching treats. ,Staff Observation,3/26/2025,06:28 PM
447,Intake,A0058070653,3/27/2025 easily handled while in intake and during exam,Staff Observation,3/27/2025,12:12 PM
448,Daily Observations,A0058042308,"3/27/2025 Ghost can be stiff with people at the fence.  It depends on how he is approached.  Dodges the leash but very excitable once out.  Because of former notes and today's interactions, he can be leveled down but I'm putting him as SD because his reactions seem to change depending on the person. I do think new people need to approach him slower until he is comfortable. -CW",Staff Observation,3/27/2025,12:25 PM
449,Intake,A0053600299,3/28/2025 easily handled while in intake and during exam,Staff Observation,3/28/2025,02:40 PM
450,Intake,A0056878500,3/28/2025 easily handled,Staff Observation,3/28/2025,04:56 PM
451,Intake,A0058099467,3/29/2025 easily handled while in intake and during exam,Staff Observation,3/29/2025,02:11 PM
452,General Information,A0058069584,"3/29/2025 Barked twice when I walked up to the kennel. Fed her a treat and sat with her, gave me sniffs intermittently. Was super hesitant when I opened the kennel and held the leash out so I sat with her some more and let her sniff me before trying again. She withdrew to the corner of the kennel a couple of times but kept coming back and eventually let me leash her and get her into a yard. She sniffed around for a while before coming to me and soliciting pets and scratches. Let me remove her collar and re-kennel her with no problem. No change at this time. Went to foster home. MH",Staff Observation,3/29/2025,04:55 PM
453,Intake,A0058100843,3/29/2025 easily handled,Staff Observation,3/29/2025,05:36 PM
454,Intake,A0055806684,3/30/2025 easily handled,Staff Observation,3/30/2025,11:48 AM
455,Request Level Change (Down),A0058069584,"3/30/2025 req L2-SF. no handling issues, but is a bit timid/unsure upon initial interaction.  quiet in kennel, observant, avoidant. when i opened her guillotine she slowly crept around her bed to go outside. i offered a treat which she had no interest in. seeing no negative behavior i opted to leash her - avoided my first attempt to leash but the second time she allowed me to leash and walked confidently out of her kennel. in the yard she sniffed every inch of my feet/legs and displayed a slow/broad wagging tail. mostly stayed to her self but when she walked past me she’d stop to sniff and allow me to pet her head/butt. as i leashed her to go back inside she nudged the gate open like she owned the place, walked nicely on leash (just enough ahead of me to be the leader), and waited at her guillotine for me to remove my leash before going inside. smart girl No change at this time. Went to foster home. MH",Leveling,3/30/2025,01:30 PM
456,General Information,A0058042308,"3/30/2025 lisa jones took ghost out for a walk, had no issues handling him and even took him to get pictures with marie. when i approached he jumped up on me and solicited attention, taking treats nicely from my hand. will move onto the floor",Staff Observation,3/30/2025,02:38 PM
